VD BRUG INT.TANKTRANSP.BV;VOORTHUIZERSTRAAT 190;3881SM;PUTTEN
LOONBEDRIJF BRUGGERS;WEDDERSTRAAT 18;9541EE;VLAGTWEDDE
H. BRUGGINK;GDANSKWEG 4;9723TS;GRONINGEN
P. VAN BUUREN TRANSPORT;'T FORT 2;8584VR;HEMELUM
MTS. BUURSEMA;PROVINCIALEWEG 30;9774PB;ADORP
J. DE BRUYN TRANSPORT;BATUWSEWEG 64;3412KZ;LOPIKERKAPEL
BRUYN INTERNATIONAL BV;EINSTEINSTRAAT 13;1704RT;HEERHUGOWAARD
WED. J. DE BRUYN & ZN BV;ENERGIEWEG 35;2421LX;NIEUWKOOP
BVD GRIJPSKERK;R. BURCHTSTRAAT 15;9843BG;GRIJPSKERK
BRUINSMA KOERIERSTER;LANGHUISTERWEG 43;9076PL;ST. ANNAPAROCHIE
BRUINSMA TRANSPORT BV;AMPERESTRAAT 1/B;1976BE;IJMUIDEN
J.H. BRUNS TRANSPORT;MUSSEL-A-KANAAL WZ 6;9584TC;MUSSEL
B.T.S.TRAILERSERVICE BV;OVERSPOOR 22;1688JG;WOGNUM
BSE YMOND BV;WATERLAND 15;1948RK;BEVERWIJK
BULLBARS;HOGE TRAAN 17;9351VV;LEEK
BULTENA TRANSPORT;MIDDELSINGEL 43;9695HA;BELLINGWOLDE
BULTENA VERREIKERVERH. BV;FLENSBURGWEG 10A;9723TN;GRONINGEN
BULT TRANSPORT VOF;VUURTORENWEG 11;8531HJ;LEMMER
BURG B.V.;KATWIJKERLAAN 75;2641PD;PIJNACKER
BURGERS CARROSSERIE BV;LAKENBLEKERSTRAAT 26;1431GG;AALSMEER
VD BURG AUTOMATERIALEN;KLEIN LANDAAS 7;3931GC;WOUDENBERG
DE BURGH EINDHOVEN BV;MEERENAKKERWEG 3;5652AR;EINDHOVEN
BURGLER TRANSPORT BV;INDUSTRIEWEG 2A;9804TG;NOORDHORN
JELLE BIJLSMA BV;TRIJNWALDSTERDIJK 2/A;9061DB;GIEKERK
KRAANBEDRIJF BIJL;REIGER 21;9649LB;MUNTENDAM
BUIJERT KAMPEN BV;ZWARTENDIJK 10A;8265PD;KAMPEN
F. BUIKEMA INT. TRANSPORT;ULBRANDAHOF 17;9981JV;UITHUIZEN
GEBR. BUIST;BREMERWEG 6;9354VP;ZEVENHUIZEN
LOONBEDRIJF WIERINGA;RIJKSWEG 257 B;9793PA;WINNEWEER
BUITER TRSP. STAPHORST BV;STEGEMANSERF 7;7951JT;STAPHORST
KRAANVERHUUR HERMAN BUIT;BREDEWEG 17;9649JH;MUNTENDAM
BUTTER BEDR.WAGEN OND. BV;HANDELSWEG 42;8251JT;DRONTEN
TRANSPORTBEDRIJF J BUTER;ZUIDLAARDERWEG 46;9468AG;ANNEN
BUYS TRUCKS;ZWANENBURGERDIJK 337;1161NN;ZWANENBURG
DELFTECHNIEK;OSLOWEG 135;9723BK;GRONINGEN
BIJVOET DISTRIBUTIE BV;DORPSSTRAAT 30;1713HJ;OBDAM
VAN CALKER TRANSPORT BV;HOOFDWEG 57;9615AB;KOLHAM
ZONNEVELD CARROSSERIE BV;ZUIDERKADE 27;1948NG;BEVERWIJK
KOOIKER BEDR.W.SPUITERIJ EN CARROSS;OUDE RIJKSWEG 651;7954GR;ROUVEEN
JACOB BUSKER TRANSPORT;HOOFDWEG WEDDERVEER 41a;9698PB;WEDDE
CASULA ALIMENTARI;VAN DAMSTRAAT 8;9843AP;GRIJPSKERK
CE SPECIAL COURIER;STETTINGWEG 5;9723HD;GRONINGEN
CENTRAAL STAAL BV;EUVELGUNNERWEG 25;9723CV;GRONINGEN
